uuid,status,start_date,end_date,time,user_uuid,brand,type
05d4caaf-b9cf-4778-9698-b8a6cae85aa6,REGISTERED,14/11/2022,01/01/2032,16:00:00,75e74cd5-cc8e-4f04-a9c4-1543b79dc7d3,Toyota,5-seat
639533fa-532b-4051-a616-15d20a127926,REGISTERED,08/11/2022,01/01/2032,12:00:00,47159c81-f059-4775-a76d-bb531f7ad687,Toyota,5-seat
5582d0de-f2d2-468c-94db-5e52f63f18ad,REGISTERED,25/11/2022,01/01/2032,18:30:00,cb6a901d-2411-4031-8061-bd715cfb86d8,Toyota,5-seat
a610f4fb-d04a-457f-a5a7-7ed278201439,REGISTERED,01/12/2022,01/01/2032,17:30:00,83abb97d-72c7-40c6-a740-6da5b3099344,Toyota,5-seat
6b84e65b-ea40-4372-a173-31d82123dcd0,REGISTERED,01/12/2022,01/01/2032,12:00:00,83abb97d-72c7-40c6-a740-6da5b3099344,Toyota,5-seat
81bde001-15a4-4768-b4a2-6a5b42a88e4a,REGISTERED,21/11/2022,01/01/2032,16:30:00,4d492cc7-d38b-4efa-aa85-c19a06a69e1b,Toyota,5-seat
61b7d4b7-89aa-4e81-92ed-7efb8cb16621,REGISTERED,22/11/2022,01/01/2032,16:30:00,4d492cc7-d38b-4efa-aa85-c19a06a69e1b,Toyota,5-seat
f19a80ab-2c95-4ce0-bebb-f5f79bd745e1,REGISTERED,03/11/2022,01/01/2032,15:00:00,af6dd0e1-0af3-4b5e-b183-d5d98ca9d224,Toyota,5-seat
fc75b525-6ee9-44c8-8f98-e06093398f9f,REGISTERED,03/11/2022,01/01/2032,16:00:00,af6dd0e1-0af3-4b5e-b183-d5d98ca9d224,Toyota,5-seat
d2e49b59-3527-4544-be6a-5c0fbe3bfec2,REGISTERED,23/11/2022,01/01/2032,12:00:00,9737cf63-bd14-4593-ad25-645855c4fd5b,Toyota,5-seat
866a6fbd-6965-482d-91df-99d3af9e8645,REGISTERED,08/12/2022,01/01/2032,11:30:00,33f2cd49-046d-435b-b75c-40c8ad2802a8,Toyota,5-seat
