uuid,status,start_date,end_date,time,user_uuid,brand,type
27a3f8bd-4a7f-47d2-9cff-607317ed099f,DEREGISTERED,01/11/2022,01/01/2032,9:00:00,140ee432-d2f1-405a-8547-cc050b1b1a32,Toyota,5-seat
24ed5e3a-5bf9-4d8c-a03c-ab0870067391,DEREGISTERED,01/11/2022,01/01/2032,9:00:00,41723351-a1a0-4805-9422-eb7589f3f97c,Toyota,5-seat
30a896d3-a441-48af-a054-284ec4031d20,DEREGISTERED,01/11/2022,01/01/2032,10:30:00,140ee432-d2f1-405a-8547-cc050b1b1a32,Toyota,5-seat
58660ea5-7e82-4611-9a3f-261737c7a115,DEREGISTERED,17/11/2022,01/01/2032,13:00:00,83abb97d-72c7-40c6-a740-6da5b3099344,Toyota,5-seat
4d9e6bbd-1c7a-45a3-8412-33690f001064,DEREGISTERED,01/11/2022,01/01/2032,11:30:00,534524a2-471e-4589-866f-777d82f20ad0,Toyota,5-seat
e7211eb4-363c-4a92-967a-2731c6e7c974,DEREGISTERED,01/11/2022,01/01/2032,16:30:00,45ad93ec-9bd0-4c5a-a7c8-1c0bf8cab347,Toyota,5-seat
035855bf-391b-49bf-8518-2a95df781611,DEREGISTERED,02/11/2022,01/01/2032,9:00:00,140ee432-d2f1-405a-8547-cc050b1b1a32,Toyota,5-seat
2f26ef8a-1730-4345-91f1-82b69f6f9b26,DEREGISTERED,03/11/2022,01/01/2032,15:30:00,90968d1a-d609-46bb-a60a-2db0486990d6,Toyota,5-seat
3e5e9000-fb2e-4e53-9ab5-f9574f87ed95,DEREGISTERED,03/11/2022,01/01/2032,18:00:00,90968d1a-d609-46bb-a60a-2db0486990d6,Toyota,5-seat
02bb5d5a-1d2d-4123-9209-58777e1edd6c,DEREGISTERED,03/11/2022,01/01/2032,18:30:00,4b59a3f1-2355-4867-ab35-ddf9085a59b8,Toyota,5-seat
e21a0287-008e-43b4-9dcd-712ea4373e25,DEREGISTERED,04/11/2022,01/01/2032,12:30:00,705a6537-b8ea-4c4d-be6a-2a2174f2e5b5,Toyota,5-seat
f0242180-665c-4a49-a31b-3c6355fce5a5,DEREGISTERED,23/11/2022,01/01/2032,18:00:00,45ad93ec-9bd0-4c5a-a7c8-1c0bf8cab347,Toyota,5-seat
38ae6e2e-c0b3-4501-b6c6-ebf558b619ac,DEREGISTERED,07/11/2022,01/01/2032,18:30:00,83abb97d-72c7-40c6-a740-6da5b3099344,Toyota,5-seat
04cd35b9-81c0-41f3-9058-f1ae8fbc58b0,DEREGISTERED,08/11/2022,01/01/2032,17:30:00,9737cf63-bd14-4593-ad25-645855c4fd5b,Toyota,5-seat
